Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Blue,FALSE,Lightweight,5,0,2,0,8,8,1,0,0,6,10,6,0,22,Orthodox,185.42,185.42,155,0,1,0,5,3,2,0,1,4,4,0,0,9,Orthodox,177.8,177.8,155,36,32
Red,FALSE,Middleweight,3,0,3,0,3,2,1,0,1,5,2,0,0,8,Orthodox,185.42,190.5,185,2,0,0,5,5,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185,30,35
Blue,FALSE,Featherweight,3,0,1,0,3,1,0,0,0,2,1,1,0,4,Orthodox,180.34,190.5,145,3,0,0,6,6,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,28,35
Blue,FALSE,Bantamweight,3,0,1,0,1,2,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,0,2,0,2,0,1,0,0,2,0,0,0,2,Orthodox,167.64,162.56,135,28,27
Red,FALSE,Women's Bantamweight,3,2,0,0,1,3,0,0,0,1,0,1,0,2,Orthodox,170.18,170.18,135,0,2,0,2,0,1,0,0,0,1,1,0,2,Orthodox,180.34,182.88,135,31,27
Blue,FALSE,Bantamweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,135,28,31
Blue,FALSE,Featherweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145,1,0,0,0,1,0,0,0,0,0,0,0,0,Switch,180.34,180.34,155,25,28
Red,FALSE,Heavyweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,195.58,203.2,265,0,1,0,1,1,0,0,0,2,0,0,0,2,Orthodox,185.42,190.5,245,27,32
Blue,FALSE,Middleweight,5,0,3,0,3,2,0,0,0,1,3,2,0,6,Orthodox,185.42,195.58,185,0,1,0,5,3,0,0,0,1,4,4,0,9,Orthodox,185.42,182.88,185,30,39
Red,FALSE,Heavyweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Switch,187.96,187.96,253,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265,36,30
Blue,FALSE,Welterweight,3,1,0,0,2,4,0,0,1,0,4,0,0,5,Orthodox,177.8,180.34,170,1,0,0,3,5,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170,27,31
Red,FALSE,Light Heavyweight,3,0,2,0,2,2,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,205,0,1,0,5,5,1,0,0,2,4,4,1,11,Orthodox,187.96,193.04,205,25,39
Blue,FALSE,Bantamweight,3,0,3,0,3,0,0,0,0,0,2,1,0,3,Switch,180.34,177.8,135,0,2,0,6,3,0,0,1,4,6,1,0,12,Orthodox,160.02,170.18,135,27,28
Blue,FALSE,Heavyweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,190.5,195.58,265,3,0,0,7,12,5,0,1,4,9,2,0,16,Orthodox,190.5,195.58,240,27,40
Red,FALSE,Lightweight,3,1,0,0,1,2,0,0,0,0,0,1,0,1,Southpaw,187.96,187.96,155,1,0,0,7,13,0,0,2,6,3,7,0,18,Southpaw,172.72,180.34,155,29,35
Red,FALSE,Women's Strawweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,154.94,162.56,115,2,0,0,1,6,0,0,0,3,0,0,0,3,Orthodox,160.02,162.56,115,32,34
Blue,FALSE,Welterweight,3,0,1,0,1,5,2,0,0,1,1,0,0,2,Orthodox,187.96,187.96,170,0,1,0,3,6,1,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,30,34
Red,FALSE,Heavyweight,5,0,2,0,2,2,0,0,0,0,1,5,0,6,Orthodox,187.96,203.2,240,0,1,0,4,6,1,1,0,2,6,0,0,9,Orthodox,193.04,203.2,265,41,38
Red,FALSE,Heavyweight,3,2,0,0,1,2,0,0,0,0,0,1,0,1,Orthodox,190.5,190.5,249,1,0,0,0,1,0,0,0,0,0,0,0,0,Southpaw,190.5,213.36,257,26,26
Red,FALSE,Women's Flyweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Southpaw,172.72,170.18,125,1,0,0,1,3,1,0,0,0,1,0,0,1,Orthodox,170.18,175.26,125,34,36
Red,FALSE,Welterweight,3,0,1,0,1,6,0,0,2,0,0,2,0,4,Southpaw,180.34,185.42,170,1,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,180.34,187.96,170,34,34
Blue,FALSE,Heavyweight,3,0,2,0,2,2,0,0,1,2,1,0,0,4,Orthodox,190.5,193.04,235,0,1,0,3,3,0,0,0,2,2,0,0,4,Orthodox,190.5,198.12,249,37,33
Blue,FALSE,Light Heavyweight,3,0,1,0,1,1,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,205,1,0,0,2,1,0,0,0,0,0,2,0,2,Orthodox,180.34,177.8,205,24,32
Blue,TRUE,Lightweight,5,0,3,0,4,5,0,1,0,4,8,3,0,16,Southpaw,175.26,182.88,155,0,13,0,13,3,4,0,1,4,8,2,1,16,Orthodox,180.34,175.26,155,30,27
Blue,TRUE,Middleweight,5,0,5,0,5,0,0,0,1,2,2,0,0,5,Switch,193.04,203.2,185,0,2,0,5,4,1,0,3,2,3,2,0,10,Southpaw,175.26,180.34,185,29,27
Blue,FALSE,Light Heavyweight,3,1,0,0,2,4,1,0,0,0,3,0,0,3,Southpaw,185.42,193.04,205,2,0,0,2,3,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,185,29,31
Blue,FALSE,Welterweight,3,0,1,0,1,1,0,0,0,0,1,0,0,1,Switch,185.42,193.04,170,0,1,0,3,4,0,0,0,3,4,0,0,7,Southpaw,182.88,185.42,170,34,37
Blue,FALSE,Light Heavyweight,3,2,0,0,5,4,0,0,0,0,3,3,0,6,Orthodox,190.5,195.58,205,1,0,0,4,7,1,1,0,1,5,4,0,11,Southpaw,190.5,203.2,205,27,36
Blue,FALSE,Lightweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,0,1,0,1,1,0,0,0,0,1,0,0,1,Southpaw,190.5,195.58,155,28,23
Blue,FALSE,Flyweight,3,0,2,0,2,1,0,0,1,1,0,2,0,4,Orthodox,165.1,170.18,125,0,1,0,3,5,1,0,0,5,0,2,0,7,Southpaw,162.56,165.1,125,28,34
Blue,FALSE,Welterweight,3,1,0,0,4,3,0,0,1,3,1,0,0,5,Orthodox,180.34,182.88,170,1,0,0,3,1,0,0,0,2,1,0,0,3,Orthodox,187.96,193.04,170,30,31
Red,FALSE,Bantamweight,3,0,1,0,1,3,0,0,0,1,1,0,0,2,Orthodox,175.26,177.8,135,0,1,0,1,1,0,0,0,0,0,1,0,1,Southpaw,177.8,190.5,135,30,26
Blue,FALSE,Women's Flyweight,3,1,0,0,2,1,0,0,0,1,1,0,0,2,Orthodox,172.72,170.18,115,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,30,27
Blue,FALSE,Lightweight,5,0,1,0,1,2,0,0,0,0,2,0,0,2,Orthodox,180.34,177.8,155,0,1,0,4,6,0,1,1,5,7,0,0,14,Orthodox,180.34,190.5,155,30,33
Blue,FALSE,Middleweight,3,0,2,0,2,2,0,0,0,1,3,1,0,5,Orthodox,185.42,195.58,185,1,0,0,2,4,0,0,1,2,1,0,0,4,Orthodox,185.42,198.12,185,30,37
Red,FALSE,Featherweight,3,0,2,0,4,9,1,0,1,6,4,0,0,11,Southpaw,177.8,185.42,145,1,0,0,2,2,0,0,1,2,1,0,0,4,Orthodox,167.64,177.8,145,32,34
Blue,FALSE,Women's Strawweight,3,0,2,0,2,2,0,0,1,1,0,2,0,4,Orthodox,160.02,157.48,115,1,0,0,3,3,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,33,33
Red,FALSE,Featherweight,3,0,2,0,2,1,0,0,1,1,0,0,0,2,Orthodox,172.72,182.88,145,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,175.26,180.34,145,28,25
Red,FALSE,Women's Strawweight,3,1,0,0,1,3,0,0,0,1,0,0,0,1,Orthodox,160.02,160.02,115,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,115,36,31
Blue,FALSE,Lightweight,3,1,0,0,1,3,0,0,1,1,0,0,0,2,Southpaw,177.8,185.42,155,1,0,0,3,13,1,0,2,5,4,0,1,12,Orthodox,172.72,175.26,155,29,34
Blue,FALSE,Featherweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,170.18,185.42,145,0,4,0,4,1,1,0,0,5,0,0,0,5,Orthodox,170.18,177.8,145,30,29
Red,FALSE,Middleweight,3,1,0,0,2,2,0,0,0,0,1,3,0,4,Southpaw,185.42,195.58,185,0,1,0,1,1,0,0,0,0,0,1,0,1,Orthodox,190.5,205.74,185,31,26
Red,FALSE,Bantamweight,3,0,2,0,2,1,0,0,1,0,0,1,0,2,Orthodox,167.64,165.1,135,1,0,0,3,1,0,0,0,1,1,1,0,3,Orthodox,167.64,165.1,135,24,27
Blue,FALSE,Welterweight,5,1,0,0,5,7,4,0,1,1,2,4,0,8,Orthodox,177.8,182.88,170,1,0,0,7,4,2,0,0,4,5,0,0,9,Orthodox,182.88,190.5,170,32,36
Red,FALSE,Heavyweight,3,0,4,0,4,0,0,0,0,3,1,0,0,4,Southpaw,185.42,198.12,264,1,0,0,4,3,0,0,0,2,2,0,1,5,Orthodox,193.04,203.2,265,31,28
Red,FALSE,Lightweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,177.8,183.6162102,155,0,2,0,3,6,0,0,1,5,3,0,0,9,Orthodox,172.72,172.72,155,22,33
Red,FALSE,Flyweight,3,0,3,0,3,0,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,125,0,3,0,3,4,0,0,0,5,0,3,0,8,Orthodox,165.1,170.18,125,31,33
Red,FALSE,Featherweight,3,0,1,0,1,1,0,0,1,0,0,0,0,1,Orthodox,177.8,177.8,145,1,0,0,1,1,0,0,0,0,0,1,0,1,Southpaw,190.5,190.5,155,28,25
Red,FALSE,Women's Flyweight,3,0,3,0,3,1,0,0,0,3,0,0,0,3,Southpaw,165.1,170.18,125,0,1,0,1,0,0,0,0,0,1,0,0,1,Switch,165.1,165.1,125,26,20
