Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Red,FALSE,Welterweight,3,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,170,1,0,0,1,1,0,0,0,0,1,0,0,1,Southpaw,182.88,185.42,170,26,33
Red,FALSE,Lightweight,3,0,3,0,3,8,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,0,4,0,4,1,1,0,1,1,2,2,1,7,Orthodox,180.34,193.04,155,31,31
Blue,FALSE,Middleweight,3,2,0,0,1,3,0,0,0,1,1,0,0,2,Orthodox,180.34,187.96,170,2,0,0,4,5,0,0,1,3,4,0,0,8,Orthodox,182.88,182.88,185,36,37
Blue,FALSE,Bantamweight,3,3,0,0,0,3,0,0,0,0,0,0,0,0,Southpaw,162.56,167.64,135,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,37,27
Blue,FALSE,Welterweight,3,0,2,0,2,3,0,0,1,2,1,0,0,4,Orthodox,187.96,190.5,170,0,1,0,1,1,1,0,0,1,0,0,0,1,Orthodox,187.96,187.96,170,31,26
Red,FALSE,Heavyweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,247,1,0,0,2,1,0,0,0,0,2,0,0,2,Orthodox,190.5,200.66,260,37,30
Blue,FALSE,Lightweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,1,0,0,1,2,0,0,0,0,1,1,0,2,Orthodox,187.96,185.42,170,29,28
Blue,FALSE,Heavyweight,5,4,0,0,4,9,5,0,0,2,3,8,0,14,Southpaw,190.5,200.66,264,3,0,0,2,4,1,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,35,35
Blue,FALSE,Lightweight,3,0,3,0,3,4,1,0,0,4,3,0,0,7,Southpaw,177.8,185.42,145,0,2,0,4,2,0,1,1,2,5,0,0,9,Orthodox,180.34,190.5,155,28,29
Blue,FALSE,Middleweight,3,0,1,0,1,1,0,0,0,0,1,0,0,1,Southpaw,187.96,190.5,205,0,1,0,3,1,1,0,1,2,0,1,0,4,Southpaw,185.42,198.12,185,28,30
Blue,FALSE,Lightweight,3,0,1,0,1,1,0,0,0,0,1,1,0,2,Southpaw,177.8,182.88,155,1,0,0,3,1,0,0,0,1,1,0,1,3,Orthodox,172.72,185.42,155,32,28
Blue,FALSE,Bantamweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,167.64,167.64,135,0,3,0,3,3,0,0,1,3,2,0,0,6,Southpaw,175.26,180.34,135,34,34
Red,FALSE,Welterweight,3,0,2,0,2,0,0,0,1,0,0,1,0,2,Orthodox,185.42,193.04,170,0,1,0,1,1,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,170,23,28
Blue,FALSE,Women's Bantamweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,0,3,0,3,1,0,0,1,1,0,1,0,3,Orthodox,154.94,157.48,115,37,23
Blue,FALSE,Welterweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,170,1,0,0,1,2,1,0,0,1,0,0,0,1,Orthodox,180.34,190.5,170,25,23
Blue,FALSE,Featherweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,145,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,145,28,27
Red,FALSE,Bantamweight,3,1,0,0,1,2,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,135,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,135,27,29
Red,FALSE,Lightweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,155,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,175.26,185.42,155,25,34
Red,FALSE,Welterweight,5,0,2,0,2,0,0,0,0,0,2,0,0,2,Switch,187.96,187.96,170,2,0,0,7,3,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,29,31
Red,FALSE,Featherweight,3,0,2,0,2,6,0,0,0,2,1,7,0,10,Orthodox,185.42,187.96,145,0,4,0,4,3,0,0,1,1,4,1,0,7,Orthodox,180.34,175.26,155,30,23
Red,FALSE,Welterweight,3,0,3,0,3,0,0,0,1,0,0,1,0,3,Orthodox,177.8,180.34,170,0,5,0,5,2,0,0,0,4,2,0,0,6,Orthodox,190.5,203.2,170,33,27
Red,FALSE,Middleweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,185,0,1,0,1,0,0,0,0,0,0,1,0,1,Southpaw,182.88,177.8,185,26,37
Blue,FALSE,Lightweight,3,0,2,0,2,1,0,0,1,1,0,0,0,2,Orthodox,175.26,195.58,170,0,2,0,2,1,0,0,1,1,0,0,0,2,Orthodox,167.64,170.18,170,22,33
Red,FALSE,Flyweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,125,0,1,0,1,1,0,0,0,0,0,1,0,1,Orthodox,162.56,160.02,135,33,21
Red,FALSE,Lightweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,190.5,155,4,0,0,2,5,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,23,29
Red,FALSE,Featherweight,3,0,1,0,1,0,0,0,1,0,0,0,0,1,Orthodox,175.26,180.34,145,0,2,0,2,1,0,0,0,1,0,1,0,2,Orthodox,180.34,182.88,145,28,29
Red,FALSE,Flyweight,3,2,0,0,2,3,0,0,0,2,0,0,0,2,Southpaw,170.18,167.64,135,1,0,0,2,1,0,0,0,2,0,0,0,2,Southpaw,162.56,162.56,125,28,31
Blue,FALSE,Middleweight,5,2,0,0,3,6,2,0,0,1,4,2,0,7,Southpaw,185.42,193.04,185,2,0,0,16,2,13,0,0,2,11,3,0,16,Southpaw,187.96,195.58,185,31,39
Red,FALSE,Welterweight,3,0,5,0,5,0,1,0,2,1,0,2,0,5,Southpaw,175.26,180.34,185,0,1,0,2,2,0,0,0,0,4,0,0,4,Orthodox,175.26,187.96,170,23,32
Blue,FALSE,Lightweight,3,0,2,0,3,2,1,0,0,3,2,0,0,5,Orthodox,177.8,177.8,155,0,2,0,3,6,0,0,0,1,2,7,1,11,Orthodox,177.8,180.34,155,27,30
Red,FALSE,Middleweight,3,0,1,0,4,6,0,0,2,3,4,0,0,9,Orthodox,182.88,187.96,185,0,4,0,5,3,1,0,1,3,2,3,0,9,Orthodox,185.42,198.12,185,34,33
Blue,FALSE,Welterweight,3,0,1,0,7,6,1,0,0,4,6,1,1,12,Orthodox,175.26,177.8,170,0,2,0,2,1,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,31,25
Red,FALSE,Women's Bantamweight,3,0,1,0,1,1,1,0,1,0,1,0,0,2,Orthodox,167.64,167.64,135,0,2,0,2,2,1,0,0,2,0,0,0,2,Orthodox,167.64,165.1,135,34,28
Blue,FALSE,Middleweight,3,0,1,0,2,1,0,0,0,2,0,1,0,3,Southpaw,185.42,195.58,185,0,1,0,3,7,1,0,1,2,2,4,0,9,Orthodox,185.42,195.58,205,31,34
Blue,FALSE,Flyweight,3,0,1,0,4,2,0,0,0,1,4,0,0,5,Orthodox,160.02,170.18,135,0,2,0,2,3,0,0,0,2,0,0,0,2,Orthodox,165.1,162.56,125,24,30
Red,FALSE,Middleweight,3,0,1,0,1,3,0,0,0,1,1,0,0,2,Orthodox,185.42,185.42,185,0,1,0,3,5,0,0,1,4,0,1,0,6,Orthodox,182.88,193.04,185,32,32
Blue,FALSE,Middleweight,3,1,0,0,2,2,0,0,1,1,0,1,0,3,Orthodox,187.96,198.12,185,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,187.96,182.88,185,32,30
Red,FALSE,Middleweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,185,1,0,0,1,2,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,23,31
Blue,FALSE,Light Heavyweight,5,0,2,0,3,4,0,0,0,2,7,0,0,9,Orthodox,187.96,198.12,205,0,1,0,6,2,1,0,0,2,4,2,0,8,Orthodox,195.58,200.66,205,30,28
Blue,FALSE,Middleweight,3,1,0,0,1,2,0,0,0,1,0,1,0,2,Orthodox,187.96,193.04,185,1,0,0,4,6,3,0,2,3,2,0,0,7,Orthodox,180.34,187.96,185,29,44
Blue,FALSE,Light Heavyweight,3,0,3,0,5,4,1,0,0,7,3,1,0,11,Orthodox,187.96,187.96,205,0,1,0,5,3,0,0,0,6,0,3,0,9,Orthodox,187.96,200.66,205,31,30
Blue,FALSE,Featherweight,3,1,0,0,1,4,0,0,0,1,2,0,0,3,Orthodox,172.72,170.18,145,2,0,0,3,2,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,28,32
Blue,FALSE,Welterweight,3,0,2,0,2,1,0,0,0,0,2,0,0,2,Orthodox,180.34,185.42,170,0,1,0,2,1,0,0,0,2,0,1,0,3,Orthodox,182.88,190.5,170,23,28
Red,FALSE,Light Heavyweight,3,2,0,0,1,2,0,0,0,0,1,0,0,1,Orthodox,180.34,180.34,205,0,1,0,1,2,0,0,0,0,2,0,0,2,Orthodox,190.5,195.58,205,33,22
Red,FALSE,Flyweight,3,0,2,0,2,0,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,125,0,1,0,1,1,0,0,0,1,0,0,0,1,Orthodox,162.56,162.56,125,29,35
Red,FALSE,Featherweight,5,0,1,0,4,7,0,0,0,6,3,2,0,11,Orthodox,167.64,177.8,145,0,4,0,4,0,0,0,0,1,3,0,0,4,Southpaw,175.26,187.96,155,36,26
Red,FALSE,Lightweight,3,1,0,0,7,2,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,0,6,0,6,3,0,0,0,5,4,4,0,13,Orthodox,185.42,185.42,155,31,31
Blue,FALSE,Lightweight,3,0,2,0,3,8,0,0,4,6,1,4,0,15,Southpaw,177.8,180.34,155,0,1,0,3,1,1,0,0,3,1,0,0,4,Orthodox,180.34,177.8,155,31,28
Red,FALSE,Welterweight,3,0,1,0,2,2,0,0,1,2,0,0,0,3,Orthodox,177.8,190.5,170,0,2,0,2,0,0,0,1,0,0,1,0,2,Orthodox,185.42,190.5,170,27,27
Blue,FALSE,Welterweight,3,3,0,0,1,4,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,2,0,0,4,5,0,0,3,1,2,0,0,6,Orthodox,170.18,180.34,170,28,31
Blue,FALSE,Lightweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,155,0,2,0,2,0,1,0,1,1,0,0,0,2,Southpaw,180.34,180.34,155,27,24
Red,FALSE,Flyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,125,1,0,0,1,1,0,0,0,0,0,1,0,1,Orthodox,177.8,175.26,125,31,26
Red,FALSE,Featherweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,1,0,0,0,1,0,0,0,0,0,0,0,0,Switch,175.26,175.26,145,25,28
Blue,FALSE,Light Heavyweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,205,1,0,0,0,1,1,0,0,0,0,0,0,0,Orthodox,195.58,193.04,205,31,28
Blue,FALSE,Flyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,23,28
Red,TRUE,Light Heavyweight,5,0,4,0,4,0,0,0,0,2,1,1,0,4,Orthodox,180.34,182.88,235,0,11,0,11,1,8,0,0,5,4,5,0,14,Orthodox,193.04,213.36,205,35,27
Red,FALSE,Lightweight,3,0,6,0,6,0,0,0,1,2,2,1,0,6,Orthodox,177.8,185.42,145,0,5,0,5,3,0,0,0,4,4,4,0,12,Orthodox,185.42,185.42,155,26,31
Red,FALSE,Middleweight,3,0,1,0,4,6,1,0,0,4,4,3,0,11,Orthodox,182.88,187.96,185,2,0,0,5,3,0,0,1,5,1,0,0,7,Orthodox,185.42,187.96,185,35,27
Red,FALSE,Flyweight,3,2,0,0,1,3,0,0,0,0,0,1,0,1,Orthodox,160.02,160.02,125,0,3,0,3,0,0,0,0,1,2,0,0,3,Orthodox,165.1,167.64,125,30,24
Blue,FALSE,Welterweight,3,3,0,0,2,5,0,0,1,2,1,1,0,5,Orthodox,177.8,182.88,170,0,2,0,2,2,0,0,0,1,2,0,0,3,Southpaw,175.26,180.34,185,34,36
Blue,FALSE,Lightweight,3,0,1,0,1,0,0,0,1,0,0,0,0,1,Orthodox,180.34,177.8,155,1,0,0,3,4,0,0,1,4,2,0,0,7,Orthodox,175.26,180.34,155,30,35
Red,FALSE,Lightweight,3,2,0,0,2,3,0,0,1,1,0,1,0,3,Orthodox,170.18,180.34,155,3,0,0,4,6,0,0,3,1,1,1,1,7,Southpaw,177.8,177.8,155,34,33
Red,FALSE,Welterweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,1,0,0,1,1,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,185,31,27
Red,FALSE,Middleweight,5,0,2,0,3,5,1,0,1,4,2,2,0,9,Orthodox,187.96,193.04,185,1,0,0,8,5,5,0,1,6,5,1,0,13,Southpaw,185.42,187.96,185,31,36
Red,FALSE,Bantamweight,3,0,4,0,4,1,0,0,0,1,0,3,0,4,Southpaw,165.1,165.1,135,1,0,0,7,1,5,0,0,3,2,2,0,7,Orthodox,167.64,177.8,135,30,27
Blue,FALSE,Light Heavyweight,3,0,2,0,2,1,0,0,0,1,1,0,0,2,Orthodox,187.96,193.04,205,0,1,0,1,0,1,0,0,1,0,0,0,1,Orthodox,187.96,200.66,185,34,24
Blue,FALSE,Lightweight,3,0,2,0,2,0,0,0,0,2,0,0,0,2,Orthodox,175.26,177.8,155,0,3,0,3,0,0,0,0,2,0,1,0,3,Orthodox,180.34,185.42,155,30,28
Red,FALSE,Welterweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,1,0,0,1,4,0,0,0,0,2,2,0,4,Orthodox,182.88,187.96,170,25,30
Red,FALSE,Light Heavyweight,3,4,0,0,3,7,0,0,0,1,2,1,0,4,Orthodox,182.88,193.04,205,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,185.42,190.5,253,35,29
Blue,FALSE,Featherweight,3,2,0,0,1,2,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,155,0,1,0,5,3,0,0,1,5,2,0,0,8,Orthodox,177.8,180.34,145,30,30
Red,FALSE,Bantamweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Southpaw,177.8,180.34,125,0,1,0,1,1,0,0,0,0,0,1,0,1,Orthodox,170.18,175.26,135,25,31
Blue,FALSE,Welterweight,3,0,1,0,2,3,0,0,0,2,1,0,0,3,Orthodox,187.96,190.5,170,1,0,0,0,1,1,0,0,0,0,0,0,0,Southpaw,182.88,190.5,185,30,25
Red,FALSE,Heavyweight,5,0,3,0,3,1,0,0,0,3,3,0,0,6,Orthodox,193.04,203.2,240,1,0,0,9,2,4,0,0,2,8,0,0,10,Orthodox,193.04,195.58,238,32,30
Red,FALSE,Lightweight,3,0,1,0,5,7,2,0,1,1,2,8,0,12,Southpaw,182.88,193.04,170,0,2,0,5,5,0,0,0,6,3,2,0,11,Southpaw,172.72,177.8,170,29,30
Red,FALSE,Heavyweight,3,1,0,0,4,4,0,1,0,0,4,4,0,9,Orthodox,210.82,213.36,265,1,0,0,1,3,0,0,0,1,1,0,0,2,Orthodox,193.04,203.2,265,26,34
Blue,FALSE,Heavyweight,3,0,2,0,5,3,0,0,0,1,7,0,0,8,Switch,190.5,200.66,265,1,0,0,4,7,1,0,0,0,7,4,0,11,Orthodox,187.96,193.04,242,36,35
Blue,FALSE,Women's Strawweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,167.64,165.1,125,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,162.56,160.02,115,27,26
Blue,FALSE,Welterweight,3,0,1,0,3,3,0,0,0,1,2,2,0,5,Orthodox,187.96,195.58,170,1,0,0,1,4,0,0,0,1,1,1,1,4,Southpaw,182.88,177.8,185,31,32
Blue,FALSE,Lightweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Southpaw,172.72,177.8,155,3,0,0,2,5,0,0,1,0,1,1,0,3,Orthodox,172.72,182.88,155,26,30
Red,FALSE,Lightweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,155,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,33,26
Blue,FALSE,Featherweight,3,0,2,0,2,5,0,0,0,0,0,6,0,6,Orthodox,177.8,187.96,155,1,0,0,3,9,0,0,1,4,4,0,1,10,Orthodox,172.72,180.34,145,25,28
Blue,FALSE,Lightweight,3,0,1,0,2,3,0,0,1,2,3,0,0,6,Switch,172.72,182.88,155,0,2,0,2,1,0,0,0,1,1,0,0,2,Orthodox,177.8,182.88,155,29,32
Blue,FALSE,Lightweight,3,0,1,0,1,3,0,0,0,0,0,1,0,1,Orthodox,177.8,190.5,155,0,2,0,2,1,0,0,0,1,2,0,0,3,Orthodox,177.8,182.88,155,27,29
Blue,TRUE,Welterweight,5,0,2,0,3,4,1,0,1,3,5,0,0,9,Southpaw,180.34,187.96,170,0,1,0,6,2,2,1,2,3,5,0,0,11,Southpaw,175.26,175.26,185,32,31
Red,TRUE,Lightweight,5,0,1,0,1,1,1,0,0,1,0,0,0,1,Orthodox,175.26,185.42,145,0,4,0,4,1,1,0,1,0,2,1,0,4,Orthodox,177.8,182.88,170,32,27
Red,FALSE,Heavyweight,3,1,0,0,4,4,1,0,0,2,3,1,0,6,Orthodox,193.04,198.12,245,1,0,0,3,3,0,0,0,1,5,1,0,7,Orthodox,198.12,200.66,255,31,32
Red,FALSE,Heavyweight,3,0,1,0,1,1,0,0,0,0,1,0,0,1,Orthodox,195.58,193.04,260,0,1,0,1,1,0,0,0,0,2,0,0,2,Orthodox,190.5,200.66,260,34,28
Red,FALSE,Lightweight,3,0,2,0,2,2,0,0,0,0,3,0,0,3,Orthodox,172.72,177.8,155,0,3,0,3,1,1,0,1,1,2,1,1,6,Orthodox,180.34,193.04,155,31,30
Red,FALSE,Bantamweight,3,1,0,0,2,3,0,0,0,1,2,0,0,3,Orthodox,172.72,172.72,135,0,1,0,4,3,3,0,0,2,0,5,0,7,Orthodox,167.64,170.18,135,33,35
Blue,FALSE,Middleweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,190.5,200.66,185,0,1,0,1,0,1,0,0,0,1,0,0,1,Orthodox,182.88,193.04,185,26,31
Red,FALSE,Bantamweight,3,0,1,0,1,1,0,0,0,1,0,0,0,1,Southpaw,177.8,177.8,135,0,1,0,1,1,0,0,0,2,0,0,0,2,Orthodox,167.64,175.26,135,27,21
Blue,FALSE,Featherweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,145,1,0,0,1,1,0,0,0,0,1,0,0,1,Southpaw,182.88,180.34,155,21,26
Red,FALSE,Featherweight,5,0,6,0,6,1,0,0,0,2,4,0,0,6,Orthodox,172.72,177.8,145,0,2,0,5,5,7,0,0,7,3,1,0,11,Orthodox,167.64,172.72,145,31,33
Blue,FALSE,Lightweight,3,0,1,0,4,2,0,1,1,1,5,0,0,8,Orthodox,180.34,190.5,155,0,4,0,4,0,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,155,28,28
Blue,FALSE,Flyweight,3,2,0,0,1,3,0,0,0,2,0,0,0,2,Orthodox,167.64,167.64,125,1,0,0,2,4,0,0,1,1,1,1,0,4,Orthodox,167.64,172.72,135,29,36
Blue,FALSE,Heavyweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,187.96,203.2,240,0,3,0,3,0,0,0,0,3,0,0,0,3,Orthodox,187.96,190.5,265,37,28
Red,FALSE,Flyweight,3,0,2,0,2,1,0,0,2,0,1,0,0,3,Orthodox,165.1,165.1,125,0,1,0,3,2,2,0,0,3,3,1,0,7,Southpaw,162.56,165.1,125,25,30
Red,FALSE,Lightweight,3,2,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,172.72,172.72,155,1,0,0,4,5,0,0,0,4,2,3,0,9,Orthodox,177.8,172.72,155,36,31
Blue,FALSE,Middleweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Southpaw,190.5,200.66,185,1,0,0,3,1,0,0,0,1,1,1,0,3,Orthodox,198.12,195.58,185,31,26
Red,FALSE,Lightweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Southpaw,167.64,167.64,155,0,2,0,2,0,0,0,0,1,0,1,0,2,Orthodox,190.5,193.04,155,30,27
Blue,FALSE,Lightweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,155,4,0,0,6,10,0,0,1,2,5,2,0,10,Southpaw,175.26,185.42,155,31,38
Red,TRUE,Heavyweight,5,0,1,0,4,3,0,0,0,1,4,0,0,5,Orthodox,177.8,182.88,265,0,4,0,4,2,0,0,0,2,3,1,0,6,Orthodox,193.04,195.58,231,40,37
Blue,FALSE,Welterweight,3,0,4,0,4,0,1,0,2,1,0,1,0,4,Southpaw,175.26,180.34,185,2,0,0,6,4,0,0,1,2,4,0,1,8,Orthodox,175.26,180.34,170,23,29
Red,FALSE,Featherweight,3,0,7,0,7,1,1,0,2,2,1,2,0,7,Orthodox,167.64,167.64,155,0,1,0,4,1,1,0,0,2,2,1,0,5,Orthodox,172.72,180.34,145,27,32
Red,FALSE,Women's Bantamweight,3,0,1,0,1,1,0,0,0,0,1,0,0,1,Orthodox,175.26,167.64,135,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,125,32,28
Blue,FALSE,Light Heavyweight,5,1,0,0,4,1,0,1,0,0,2,1,0,4,Southpaw,190.5,203.2,205,1,0,0,2,7,3,0,0,0,6,0,0,6,Orthodox,185.42,193.04,205,31,32
Red,FALSE,Welterweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Southpaw,182.88,185.42,170,0,1,0,1,0,1,0,0,0,0,1,0,1,Orthodox,180.34,182.88,170,32,23
Red,FALSE,Middleweight,3,0,1,0,1,2,0,0,1,1,0,0,0,2,Orthodox,190.5,190.5,185,0,3,0,3,1,0,0,0,1,1,1,0,3,Orthodox,185.42,185.42,185,33,26
Red,FALSE,Lightweight,3,4,0,0,2,6,0,0,0,4,0,0,0,4,Orthodox,177.8,182.88,155,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,33,28
Blue,FALSE,Welterweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,180.34,182.88,170,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,182.88,180.34,170,26,27
Red,FALSE,Middleweight,5,0,1,0,4,6,1,0,1,5,9,0,0,15,Orthodox,185.42,190.5,185,0,2,0,2,1,0,0,0,0,1,1,0,2,Southpaw,190.5,195.58,185,35,30
Blue,FALSE,Lightweight,3,0,1,0,3,2,1,0,0,3,1,0,0,4,Orthodox,177.8,177.8,155,0,1,0,3,5,1,0,0,4,3,0,1,8,Orthodox,172.72,175.26,155,27,30
Red,FALSE,Middleweight,3,0,4,0,4,0,0,0,1,1,1,0,1,4,Orthodox,187.96,195.58,205,0,1,0,2,2,1,0,0,2,1,0,0,3,Orthodox,182.88,185.42,185,27,23
Red,FALSE,Heavyweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Southpaw,195.58,195.58,250,1,0,0,3,2,0,0,0,0,3,0,0,3,Orthodox,193.04,205.74,265,31,37
Red,FALSE,Lightweight,3,1,0,0,1,2,0,0,0,0,0,1,0,1,Orthodox,177.8,185.42,155,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,180.34,185.42,170,32,20
Red,FALSE,Light Heavyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,205,1,0,0,3,5,0,0,0,0,2,2,0,4,Orthodox,190.5,190.5,205,28,42
Blue,FALSE,Middleweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Southpaw,187.96,190.5,205,1,0,0,2,1,0,0,0,0,2,0,0,2,Switch,185.42,185.42,185,28,34
Blue,FALSE,Flyweight,3,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,175.26,172.72,135,0,1,0,1,1,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,125,23,31
Blue,FALSE,Welterweight,3,2,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,177.8,177.8,170,0,1,0,1,1,0,0,0,0,1,0,0,1,Orthodox,180.34,185.42,170,38,37
Blue,FALSE,Bantamweight,3,2,0,0,3,2,0,0,1,2,0,0,0,3,Southpaw,162.56,180.34,135,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,29,28
Red,TRUE,Featherweight,5,0,5,0,5,1,1,0,0,3,4,0,0,7,Orthodox,167.64,167.64,145,0,6,0,6,0,6,0,0,4,2,0,0,6,Orthodox,170.18,177.8,145,29,28
Blue,FALSE,Light Heavyweight,3,1,0,0,5,3,0,0,0,5,0,3,0,8,Orthodox,187.96,200.66,205,1,0,0,5,1,1,0,0,1,1,2,1,5,Orthodox,187.96,193.04,205,30,34
Red,FALSE,Light Heavyweight,3,0,1,0,1,0,0,0,1,0,0,0,0,1,Orthodox,190.5,185.42,205,1,0,0,3,4,0,0,1,2,1,0,0,4,Orthodox,185.42,190.5,205,27,34
Red,FALSE,Featherweight,3,0,3,0,3,1,0,0,0,0,2,1,0,3,Southpaw,182.88,182.88,145,1,0,0,5,3,0,0,0,5,2,0,0,7,Orthodox,177.8,180.34,145,25,30
Blue,FALSE,Lightweight,3,0,1,0,1,1,0,0,0,0,0,2,0,2,Southpaw,177.8,182.88,155,0,2,0,2,0,0,0,0,0,1,1,0,2,Orthodox,175.26,187.96,155,25,29
Blue,FALSE,Welterweight,3,0,4,0,4,2,0,0,0,4,1,0,0,5,Orthodox,190.5,203.2,170,0,1,0,1,1,1,0,0,1,0,0,0,1,Orthodox,180.34,190.5,170,27,23
Red,FALSE,Lightweight,3,3,0,0,0,3,0,0,0,0,0,0,0,0,Southpaw,172.72,167.64,155,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,180.34,185.42,155,32,31
Blue,FALSE,Flyweight,3,0,1,0,1,1,0,0,0,2,0,0,0,2,Southpaw,162.56,165.1,125,0,1,0,2,5,0,0,0,2,1,1,0,4,Orthodox,165.1,167.64,135,29,32
Blue,FALSE,Featherweight,3,1,0,0,1,1,0,0,0,0,1,0,0,1,Orthodox,180.34,187.96,145,0,1,0,1,3,0,0,0,2,1,0,0,3,Orthodox,172.72,185.42,135,24,26
