,principal component 1B,principal component 2B,principal component 3B,principal component 1R,principal component 2R,principal component 3R,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
39,2.355295171064706,-2.664715662652098,-0.7552488876312293,2.9457886676255427,-0.1848743702975989,-0.24387181684585832,Blue,False,Featherweight,3,0,1,0,3,1,0,0,0,2,1,1,0,4,Orthodox,180.34,190.5,145.0,3,0,0,6,6,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145.0,28.0,35.0
40,2.3093653738167763,-1.0557059379667986,4.391669697807469,3.1341008097269736,-0.8491973229106011,0.6798134264688013,Blue,False,Bantamweight,3,0,1,0,1,2,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135.0,0,2,0,2,0,1,0,0,2,0,0,0,2,Orthodox,167.64,162.56,135.0,28.0,27.0
41,-0.4106347439750414,2.852514862894784,-0.1518420663683335,-1.4085785494596355,-1.9714672029038274,-0.9539083827747272,Red,False,Women's Bantamweight,3,2,0,0,1,3,0,0,0,1,0,1,0,2,Orthodox,170.18,170.18,135.0,0,2,0,2,0,1,0,0,0,1,1,0,2,Orthodox,180.34,182.88,135.0,31.0,27.0
42,3.9689155630392623,-0.10969970680330021,-2.2835842170680745,2.686995630393422,-0.03172162143049585,-2.351986343762978,Blue,False,Bantamweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135.0,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,135.0,28.0,31.0
43,6.519266146837833,-3.565375953922852,-0.5561304670048918,0.24247340490517066,4.014295851319083,-4.451416687064412,Blue,False,Featherweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145.0,1,0,0,0,1,0,0,0,0,0,0,0,0,Switch,180.34,180.34,155.0,25.0,28.0
44,-0.2835807194309076,-0.17570894483565058,3.189192953387087,-0.9338171679263303,-1.9142904095243614,0.7153673131928834,Red,False,Heavyweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,195.58,203.2,265.0,0,1,0,1,1,0,0,0,2,0,0,0,2,Orthodox,185.42,190.5,245.0,27.0,32.0
45,-1.5026506893484122,-0.5227833032696282,1.0923225608758342,-1.7179246859055117,-1.1931732608921313,0.6996406836331337,Blue,False,Middleweight,5,0,3,0,3,2,0,0,0,1,3,2,0,6,Orthodox,185.42,195.58,185.0,0,1,0,5,3,0,0,0,1,4,4,0,9,Orthodox,185.42,182.88,185.0,30.0,39.0
46,-1.4428246861756204,1.714477126576055,-2.7311313485497135,-1.4366700461720965,0.21912232278723798,-2.4267510835640818,Red,False,Heavyweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Switch,187.96,187.96,253.0,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265.0,36.0,30.0
47,0.5749759132443778,-1.824157630491419,-0.6415626503498341,-0.6681836985998191,0.6818116817777861,0.006013563833776887,Blue,False,Welterweight,3,1,0,0,2,4,0,0,1,0,4,0,0,5,Orthodox,177.8,180.34,170.0,1,0,0,3,5,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170.0,27.0,31.0
48,0.6496110669732149,-1.2622109659844258,-0.6631758449442874,-0.517945835640504,0.17968975956887473,0.4524061900366551,Red,False,Light Heavyweight,3,0,2,0,2,2,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,205.0,0,1,0,5,5,1,0,0,2,4,4,1,11,Orthodox,187.96,193.04,205.0,25.0,39.0
49,-1.2459410347657272,0.7111368864209191,1.1384092892670077,3.397213736912402,-1.3952828834297193,-0.6992427409589393,Blue,False,Bantamweight,3,0,3,0,3,0,0,0,0,0,2,1,0,3,Switch,180.34,177.8,135.0,0,2,0,6,3,0,0,1,4,6,1,0,12,Orthodox,160.02,170.18,135.0,27.0,28.0
